timestamps,PPG1,PPG2,PPG3
1685718356.428,1816.000,106786.000,61089.000
1685718356.518,1823.000,106861.000,61089.000
1685718356.518,1818.000,106780.000,61112.000
1685718356.518,1827.000,106838.000,61097.000
1685718356.518,1824.000,106836.000,61090.000
1685718356.518,1823.000,106787.000,61065.000
1685718356.518,1824.000,106780.000,61064.000
1685718356.608,1817.000,106767.000,61051.000
1685718356.608,1821.000,106703.000,61044.000
1685718356.608,1816.000,106681.000,61046.000
1685718356.608,1816.000,106650.000,61064.000
1685718356.608,1816.000,106621.000,61043.000
1685718356.608,1817.000,106588.000,61067.000
1685718356.698,1817.000,106549.000,61043.000
1685718356.698,1814.000,106500.000,61022.000
1685718356.698,1818.000,106513.000,61028.000
1685718356.698,1809.000,106438.000,61003.000
1685718356.698,1815.000,106452.000,61002.000
1685718356.698,1810.000,106479.000,61006.000
1685718356.803,1814.000,106401.000,60986.000
1685718356.803,1814.000,106429.000,60994.000
1685718356.803,1810.000,106420.000,60996.000
1685718356.803,1814.000,106438.000,61007.000
1685718356.803,1811.000,106392.000,60987.000
1685718356.803,1816.000,106382.000,61001.000
1685718356.893,1809.000,106399.000,61017.000
1685718356.893,1814.000,106378.000,61010.000
1685718356.893,1810.000,106389.000,61021.000
1685718356.893,1814.000,106394.000,61020.000
1685718356.893,1813.000,106392.000,60993.000
1685718356.893,1809.000,106367.000,61026.000
1685718356.983,1817.000,106377.000,61007.000
1685718356.983,1811.000,106420.000,61012.000
1685718356.983,1815.000,106440.000,61036.000
1685718356.983,1811.000,106456.000,61034.000
1685718356.983,1813.000,106433.000,61047.000
1685718356.983,1815.000,106440.000,61042.000
1685718357.073,1812.000,106480.000,61039.000
1685718357.073,1818.000,106463.000,61060.000
1685718357.073,1809.000,106483.000,61057.000
1685718357.073,1815.000,106471.000,61069.000
1685718357.073,1811.000,106484.000,61065.000
1685718357.073,1819.000,106474.000,61070.000
1685718357.178,1816.000,106509.000,61078.000
1685718357.178,1819.000,106528.000,61076.000
1685718357.178,1823.000,106516.000,61073.000
1685718357.178,1819.000,106582.000,61086.000
1685718357.178,1826.000,106587.000,61079.000
1685718357.178,1820.000,106571.000,61096.000
1685718357.268,1827.000,106587.000,61097.000
1685718357.268,1819.000,106574.000,61075.000
1685718357.268,1825.000,106600.000,61089.000
1685718357.268,1819.000,106548.000,61074.000
1685718357.268,1817.000,106474.000,61053.000
1685718357.268,1818.000,106503.000,61060.000
1685718357.358,1810.000,106438.000,61055.000
